transaction_id,amount,source_balance,source_monthly_sent,source_monthly_limit,average_transaction_amount_30d,transaction_count_24h,login_count_24h,geo_distance_km,hour_of_day,day_of_week,source_account_age_days,destination_account_age_days,amount_over_avg_ratio,amount_pct_of_balance,amount_pct_of_limit,last_login_ip_same,known_device,isFraud
txn_0,2201.59,8985.26,3738.66,15911.01,892.84,1,1,710.93,10,5,837,337,2.465828143900363,0.2450224033583892,0.23497314123993385,False,True,0
txn_1,669.2,15878.21,1987.75,13729.92,411.7,12,10,2808.53,4,4,387,563,1.625455428710226,0.04214580862704298,0.1447750605975854,True,True,0
txn_2,64.86,10635.71,1854.28,12844.86,970.63,8,8,2560.67,8,0,587,318,0.06682257914962447,0.0060983234781693,0.14435968940105223,False,True,1
txn_3,107.13,2435.94,4304.42,19998.8,326.82,8,6,26.35,7,5,769,-7,0.3277951165779328,0.043978915736840804,0.2152339140348421,False,True,0
txn_4,3628.62,4550.86,2035.87,13400.81,451.16,1,9,346.68,1,0,799,686,8.042867275467682,0.7973481935282563,0.15192141370558943,True,True,1
txn_5,125.26,18758.47,8529.62,18517.02,955.62,14,2,2755.75,11,6,640,479,0.13107720642096232,0.006677516876376378,0.4606367547261925,False,False,0
txn_6,4859.57,1400.09,625.87,10256.17,253.41,1,4,2065.66,15,1,708,475,19.176709679965274,3.470898299395039,0.06102375448144873,False,False,0
txn_7,4767.82,10086.49,7136.1,8607.0,114.85,12,8,151.87,12,3,544,635,41.513452329124945,0.4726936724271773,0.8291042174973859,False,True,0
txn_8,966.53,9545.17,8322.52,14869.78,670.92,15,0,1709.99,5,0,243,114,1.440603946819293,0.10125854227845077,0.5596935529644689,True,True,0
txn_9,3858.1,13270.38,4470.83,7057.75,420.31,7,3,1820.84,4,0,578,259,9.17917727391687,0.2907301825569426,0.6334639226382346,True,False,0
txn_10,3683.78,17293.96,7599.6,7452.53,303.57,0,7,1712.98,3,1,177,593,12.134861811114407,0.2130096287952557,1.0197342379031014,False,True,0
txn_11,4329.56,5763.59,4906.65,7971.65,433.03,9,6,1949.7,4,3,87,400,9.998291111470339,0.7511915316668951,0.6155124723237975,False,True,0
txn_12,3280.72,9937.16,5573.08,8630.37,951.71,7,3,2186.69,9,4,1042,150,3.4471845415094933,0.33014664149515555,0.6457521519934835,True,False,0
txn_13,777.31,12044.98,6035.32,8135.42,202.83,8,9,2886.04,8,3,453,305,3.8323226347187296,0.06453393862007242,0.7418572120431397,True,True,0
txn_14,3298.66,18293.16,1386.83,15094.22,54.81,15,9,623.61,5,0,149,60,60.183543149060384,0.1803220438677626,0.0918782156348589,True,False,0
txn_15,1868.04,2706.31,7988.74,7383.98,344.18,0,4,1970.88,23,2,857,617,5.427508861642163,0.6902535186286863,1.081901630286106,True,False,0
txn_16,314.91,1304.32,5495.67,13099.78,484.86,6,10,2226.59,16,5,395,29,0.6494864496968197,0.2414361506378803,0.4195238393316529,True,False,0
txn_17,4163.88,8237.26,5729.4,8712.13,599.51,2,2,1242.32,21,6,996,673,6.945472135577388,0.5054933315204327,0.6576348149074911,True,True,0
txn_18,814.55,2592.85,8424.1,11943.78,513.26,2,5,1269.98,21,0,392,496,1.5870124303471924,0.3141523805850705,0.7053127234426622,False,True,0
txn_19,341.09,3684.79,7584.58,15476.61,870.32,1,3,2821.29,20,3,884,133,0.3919133192389006,0.092567011959976,0.4900672692534088,False,False,1
txn_20,4593.17,16427.12,4509.73,13786.55,459.65,0,2,1335.89,14,4,5,591,9.992755357337105,0.2796089637136638,0.32711084353953673,True,False,0
txn_21,1544.67,12602.03,2395.91,10972.65,624.75,8,0,1457.52,12,1,43,144,2.4724609843937575,0.12257310925303304,0.21835290472219562,False,False,0
txn_22,4848.29,7273.12,592.44,5393.07,425.9,11,6,2275.93,5,2,817,467,11.383634656022542,0.6666038783905669,0.10985208795732303,False,True,0
txn_23,1421.44,12471.11,5107.9,11734.68,190.76,9,10,1368.2,23,3,-7,671,7.451457328580416,0.11397862740365533,0.4352824278122624,True,False,0
txn_24,3445.93,18848.76,4424.78,10967.82,732.15,5,10,2179.75,7,1,290,30,4.706590179608003,0.1828199839140612,0.4034329520360473,False,False,0
txn_25,1659.31,3261.38,1896.77,10038.34,983.06,4,3,1200.57,10,5,702,491,1.6879030781437552,0.5087754263532615,0.1889525559006768,False,False,0
txn_26,1897.38,4551.58,5803.54,16932.09,996.7,13,8,1637.49,3,3,591,307,1.9036620848801045,0.41686183698847434,0.34275390693056795,False,True,0
txn_27,846.03,15093.86,1620.0,6287.62,372.19,11,5,1247.82,11,1,1040,320,2.273113194873586,0.05605126852905751,0.2576491581870406,True,True,0
txn_28,882.26,15716.01,7418.53,6576.87,900.8,9,6,1441.74,0,1,992,82,0.9794182948490231,0.056137658349670175,1.1279727286688044,False,True,0
txn_29,4204.48,1965.53,1240.46,11591.01,853.7,6,0,2048.97,16,5,741,698,4.925008785287571,2.139107518074005,0.10701914673527156,False,False,0
txn_30,1246.37,15788.31,3577.72,17032.25,90.37,14,1,809.01,5,5,690,590,13.791855704326656,0.07894258473516165,0.21005562976118833,False,False,0
txn_31,608.44,7846.11,6455.61,11499.85,667.06,12,6,1271.8,8,6,159,284,0.9121218481096155,0.07754670785905374,0.5613647134527842,False,True,0
txn_32,1718.17,10279.5,6209.66,12729.34,392.19,7,8,421.77,7,1,408,419,4.380963308600424,0.16714528916776109,0.48782262081144817,False,False,0
txn_33,2735.37,8968.93,9776.99,12511.63,718.32,2,5,2692.75,4,5,542,375,3.808010357500835,0.304982868636504,0.7814321555225019,True,False,0
txn_34,3284.5,15692.77,1647.07,13186.67,794.85,9,5,194.52,22,0,133,-4,4.132226206202428,0.209300206400782,0.1249041645843871,False,False,0
txn_35,3029.51,3992.64,4368.68,11071.2,564.03,3,8,1012.23,21,2,234,400,5.371185929826428,0.7587736435040475,0.3945985981646073,False,False,0
txn_36,2821.98,19166.79,5783.26,16575.69,361.29,0,7,1833.02,22,5,641,677,7.81084447396828,0.1472327917194272,0.34890010611926264,False,False,0
txn_37,2115.54,18525.17,2348.79,9458.59,101.62,3,7,724.4,10,2,474,246,20.818146034245228,0.11419814231124466,0.24832348161829618,False,False,0
txn_38,1744.94,1835.45,9375.26,14206.96,875.97,1,9,2492.09,4,3,923,654,1.9920088587508704,0.9506878422185295,0.6599061305163104,False,True,1
txn_39,3056.52,8879.59,489.41,6731.45,64.73,2,5,2187.18,6,6,600,107,47.21952726710953,0.34421859567840407,0.07270498926679987,False,False,0
txn_40,294.25,2614.58,6225.93,7101.44,595.29,12,5,1051.77,18,3,798,357,0.49429689731055454,0.11254197614913294,0.8767137369322279,True,False,0
txn_41,3455.86,17259.69,864.13,17751.37,783.94,15,9,2775.22,15,1,154,533,4.408322065464193,0.2002272346722334,0.04867962303754584,False,False,0
txn_42,1217.45,1080.13,5327.7,10986.29,242.4,14,4,564.13,23,3,794,372,5.022483498349835,1.1271328451204947,0.4849407761855913,True,False,0
txn_43,3749.81,11135.44,4047.35,14743.79,320.46,0,1,2090.08,6,2,815,210,11.701335580103601,0.33674556191762517,0.2745121844518946,True,False,0
txn_44,2735.03,10758.61,2802.31,11590.68,928.64,5,5,109.38,16,2,1005,73,2.9451994314266026,0.25421778463946554,0.24177270013493599,True,True,0
txn_45,4489.58,9516.11,7127.02,6668.69,716.64,13,7,1398.84,1,5,447,118,6.264763340031257,0.4717873164559888,1.0687286408574999,True,True,0
txn_46,2620.21,18083.84,9064.48,11302.01,427.84,5,2,152.43,16,6,637,365,6.124275430067315,0.1448923458734428,0.8020237108266582,True,True,0
txn_47,1980.35,8126.23,1311.14,15063.08,736.19,11,7,1628.88,7,6,136,519,2.689998505820508,0.2436984924128409,0.08704328729582529,True,False,0
txn_48,23.23,7029.58,6526.52,16918.78,965.16,8,1,2804.53,15,4,971,196,0.02406854821998425,0.0033046071031270718,0.3857559469418008,True,False,0
txn_49,4022.3,13760.96,8986.76,17993.86,238.71,14,3,1972.55,5,3,629,100,16.850152905198776,0.29229792107527386,0.4994348072064582,False,True,0
txn_50,1036.67,8786.87,2688.2,8575.96,951.6,6,0,1013.9,18,6,64,-12,1.089396805380412,0.1179794397777593,0.3134576187388934,False,True,0
txn_51,3892.47,18665.09,1155.49,18842.87,207.08,5,1,1303.34,5,0,528,654,18.79693838130191,0.20854279298947928,0.06132239940094052,True,True,0
txn_52,4741.68,19880.46,6782.67,5940.22,315.16,8,0,324.36,8,5,949,624,15.045310318568346,0.23850957171011136,1.1418213466841296,True,False,0
txn_53,2855.61,15282.93,7326.22,5840.41,542.7,0,9,49.73,9,5,405,343,5.261857379767827,0.1868496420516223,1.2544016601574206,True,True,1
txn_54,901.03,3787.31,4823.65,16931.3,631.81,14,10,1189.27,8,5,526,99,1.426109115082066,0.23790764421185484,0.2848954303567948,False,True,0
txn_55,4454.37,14453.8,1882.72,19269.85,82.57,10,9,2548.2,7,2,255,659,53.94659077146664,0.3081798558164635,0.09770288819061904,True,True,0
txn_56,1998.27,19790.02,9395.3,17032.03,855.59,2,0,2822.18,17,3,290,402,2.3355462312556248,0.1009736220579868,0.5516253787716437,True,True,0
txn_57,4756.11,2874.35,6730.6,5199.39,102.84,15,10,629.84,20,1,247,409,46.247666277712945,1.6546732304694973,1.2944980084202184,False,False,0
txn_58,3469.63,16084.22,5825.55,13020.37,114.61,0,4,2628.02,10,1,398,52,30.273361835790944,0.21571639781102225,0.4474181609278384,False,True,1
txn_59,4622.39,5770.35,8796.61,17640.44,659.84,1,7,174.44,4,0,492,73,7.005319471387003,0.8010588612475846,0.498661598010027,True,False,0
txn_60,2727.12,10319.91,8972.72,11506.41,349.55,0,8,2232.85,18,0,327,195,7.801802317265055,0.26425811853010345,0.779801866959373,True,False,0
txn_61,4823.37,16300.68,4446.53,17778.47,984.12,4,1,2644.98,0,0,951,101,4.901201073039873,0.2958999256472736,0.2501075739363398,False,False,1
txn_62,2585.77,11891.27,5213.7,19558.66,198.17,5,9,162.17,18,4,118,110,13.048241408891357,0.217451121705251,0.2665673415254419,False,False,0
txn_63,3966.75,9362.51,4538.13,8014.59,551.56,7,0,828.6,15,5,935,140,7.191873957502358,0.4236844606841541,0.5662335815057289,True,True,0
txn_64,4647.72,13542.21,7755.81,7555.87,640.53,3,6,1402.84,15,2,682,187,7.256053580628543,0.3432024758145089,1.0264615457915502,True,False,0
txn_65,2429.75,9778.23,1118.35,17381.85,235.75,4,7,1584.34,4,4,686,97,10.306468716861081,0.2484856666288275,0.0643401018878888,False,True,0
txn_66,1513.7,6180.29,5939.24,14516.82,300.24,11,10,769.33,8,4,81,692,5.041633359978683,0.2449237818937299,0.4091281699435551,False,False,1
txn_67,1495.59,10735.25,3436.55,10156.87,496.2,0,6,320.38,10,4,325,120,3.0140870616686817,0.13931580540741947,0.3383473451959117,False,True,0
txn_68,4600.74,7799.83,1142.94,17527.5,502.64,14,2,2524.04,9,4,367,82,9.153151360814897,0.5898513172722994,0.06520838682071031,True,False,0
txn_69,2535.78,18230.66,6514.98,5907.57,375.2,15,5,28.59,12,6,662,368,6.7584754797441375,0.13909425111323453,1.102818925548068,True,True,0
txn_70,2252.46,6078.87,6720.94,19365.79,233.85,12,7,1708.72,9,1,475,424,9.63207184092367,0.3705392614087816,0.3470521987484115,False,False,1
txn_71,1080.66,15443.56,4895.32,7808.56,341.91,6,8,2928.92,13,0,46,220,3.1606563130648415,0.06997479855680945,0.6269171268454106,True,False,0
txn_72,3569.07,7247.97,2059.11,8572.46,557.29,9,9,373.54,16,0,958,455,6.404331676505949,0.4924233957922011,0.24020059586163137,True,True,0
txn_73,3486.63,11486.27,5984.39,9535.33,885.82,1,2,1520.16,18,4,299,630,3.9360479555665937,0.30354762686233216,0.6276017715170844,False,True,0
txn_74,771.22,11300.62,3588.52,18542.34,519.99,14,5,1423.08,6,0,68,508,1.4831439066135887,0.06824581306158423,0.19353112929651814,False,False,0
txn_75,1206.3,14657.5,1996.66,5610.96,440.05,3,3,2224.65,7,4,706,131,2.7412794000681737,0.08229916425038376,0.3558499793261759,False,False,1
txn_76,2336.95,13662.77,713.81,13849.39,144.41,2,9,2067.15,8,4,1037,150,16.18274357731459,0.1710451101789754,0.05154089819118387,False,True,0
txn_77,114.08,18683.18,7488.44,7161.33,517.48,1,2,2342.34,13,6,1068,585,0.22045296436577258,0.006106026918329749,1.0456772694457592,True,False,0
txn_78,3515.92,11670.92,7471.21,12698.96,469.14,0,6,1457.87,0,1,955,227,7.494393997527391,0.30125474255671364,0.588332430372251,False,False,0
txn_79,4469.32,3268.48,1202.22,5887.36,965.66,15,9,2788.48,20,4,929,673,4.628254250978605,1.367400137066771,0.20420358191107732,True,False,0
txn_80,893.37,6126.57,7995.56,19131.18,809.68,9,4,606.66,22,0,487,105,1.1033618219543524,0.14581894926524958,0.4179334468652744,False,False,0
txn_81,1312.87,17112.94,2929.54,8079.64,929.37,9,4,2318.13,10,1,473,640,1.4126451251923344,0.07671796897552378,0.36258298637067987,False,False,0
txn_82,1106.0,1352.33,389.74,9603.84,889.7,15,3,1288.0,11,1,604,399,1.2431156569630213,0.8178477146850252,0.04058168399306944,True,False,0
txn_83,4438.31,5872.39,7401.71,16515.38,564.76,13,5,556.2,6,0,547,381,7.858754161059566,0.7557927862420581,0.44817073539936714,False,True,0
txn_84,4644.12,3457.96,4347.73,15355.79,585.93,4,7,516.96,6,1,16,383,7.926066253648047,1.343023054054992,0.2831329420368473,False,True,0
txn_85,3429.11,19146.69,906.93,14685.58,762.23,1,4,1877.15,20,2,427,473,4.498786455531795,0.17909675249351195,0.06175649855164045,False,False,0
txn_86,1836.75,7876.92,9536.2,5814.59,181.29,13,9,937.32,18,5,800,29,10.131557173589277,0.2331812434301732,1.640046847671117,True,False,0
txn_87,4733.55,1471.77,3833.01,16648.28,234.14,15,1,1250.57,18,5,837,195,20.216750661997096,3.2162294380236043,0.2302345948049889,True,False,0
